DATE,Instr,Open,High,Low,Last,Sett,CHG,Vol,P_set,P_vol,P_OI
2017-03-01,MAR17,15209.0,15211.0,15016.0,15027.0,15022,208.0,27948.0,15230,75804.0,20808.0
2017-03-01,JUN17,15105.0,15106.0,14907.0,14920.0,14914,207.0,369795.0,15121,346406.0,629770.0
2017-03-01,SEP17,,,15101.0,15101.0,14914,207.0,,15121,,
2017-03-08,MAR17,14931.0,15005.0,14818.0,14903.0,14905,30.0,2227.0,15003,1972.0,6830.0
2017-03-08,JUN17,14821.0,14829.0,14709.0,14727.0,14729,30.0,333211.0,14827,187279.0,666548.0
2017-03-08,SEP17,,,14700.0,14700.0,14630,100.0,,14730,,2.0
2017-03-21,MAR17,15004.0,15119.0,14930.0,15119.0,15109,30.0,201.0,15011,109.0,547.0
2017-03-21,JUN17,14907.0,15009.0,14816.0,15005.0,14929,29.0,322694.0,14900,161722.0,637424.0
2017-03-21,SEP17,14800.0,14813.0,14800.0,14813.0,14824,29.0,8.0,14727,,2.0
2017-05-22,JUN17,15330.0,15403.0,15323.0,15326.0,15325,2.0,187825.0,15327,245719.0,693528.0
2017-05-22,SEP17,15221.0,15227.0,15216.0,15218.0,15217,2.0,45317.0,15219,12829.0,28975.0
2017-05-22,DEC17,,,,,15126,2.0,,15128,,
2017-05-25,JUN17,15324.0,15402.0,15315.0,15328.0,15327,10.0,362147.0,15317,418246.0,494050.0
2017-05-25,SEP17,15218.0,15226.0,15207.0,15220.0,15219,10.0,230469.0,15209,181402.0,313255.0
2017-05-25,DEC17,,,,,15128,10.0,,15118,,
2017-06-15,JUN17,15700.0,15707.0,15616.0,15621.0,15623,6.0,580.0,15629,1428.0,2898.0
2017-06-15,SEP17,15527.0,15531.0,15507.0,15513.0,15515,5.0,265258.0,15520,494614.0,740532.0
2017-06-15,DEC17,,,,,15424,5.0,,15429,,1.0
2017-07-19,SEP17,15327.0,15403.0,15320.0,15329.0,15330,3.0,139064.0,15327,222590.0,725921.0
2017-07-19,DEC17,15218.0,15226.0,15212.0,15220.0,15221,2.0,84.0,15219,170.0,427.0
2017-07-19,MAR18,,,,,15130,2.0,,15128,,
2017-07-31,SEP17,15305.0,15316.0,15221.0,15300.0,15231,7.0,194823.0,15306,257770.0,727499.0
2017-07-31,DEC17,15131.0,15207.0,15115.0,15126.0,15123,7.0,567.0,15130,130.0,913.0
2017-07-31,MAR18,,,,,15100,7.0,,15107,,
2017-09-14,SEP17,15609.0,15618.0,15522.0,15618.0,15608,5.0,2940.0,15603,3448.0,12161.0
2017-09-14,DEC17,15429.0,15510.0,15412.0,15508.0,15431,5.0,273739.0,15426,231641.0,735302.0
2017-09-14,MAR18,,,,,15401,5.0,,15328,,2.0
2017-10-16,DEC17,15403.0,15404.0,15318.0,15323.0,15323,9.0,181565.0,15400,295008.0,741404.0
2017-10-16,MAR18,15218.0,15228.0,15213.0,15217.0,15217,9.0,132.0,15226,139.0,109.0
2017-10-16,JUN18,,,,,15204,9.0,,15213,,
2018-02-06,MAR18,14629.0,14723.0,14517.0,14531.0,14601,11.0,624857.0,14522,734436.0,799340.0
2018-02-06,JUN18,14520.0,14621.0,14417.0,14429.0,14500,11.0,1689.0,14421,5696.0,6378.0
2018-02-06,SEP18,14508.0,14510.0,14316.0,14316.0,14400,11.0,20.0,14321,,10.0
2018-02-28,MAR18,14326.0,14418.0,14318.0,14416.0,14414,28.0,56264.0,14318,360514.0,74398.0
2018-02-28,JUN18,14224.0,14318.0,14217.0,14315.0,14314,28.0,356362.0,14218,314568.0,767405.0
2018-02-28,SEP18,,,,,14214,28.0,,14118,12.0,62.0
2018-03-02,MAR18,14511.0,14520.0,14406.0,14416.0,14414,29.0,10763.0,14511,36868.0,27060.0
2018-03-02,JUN18,14410.0,14420.0,14305.0,14315.0,14314,29.0,312674.0,14411,480281.0,810140.0
2018-03-02,SEP18,,,,,14214,29.0,,14311,,62.0
2018-04-17,JUN18,14515.0,14602.0,14507.0,14519.0,14601,18.0,234598.0,14515,238104.0,800527.0
2018-04-17,SEP18,14417.0,14506.0,14413.0,14425.0,14506,18.0,1673.0,14420,78.0,2301.0
2018-04-17,DEC18,,,,,14415,18.0,,14329,,
2018-05-29,JUN18,14323.0,14615.0,14309.0,14609.0,14608,218.0,894798.0,14322,556538.0,369474.0
2018-05-29,SEP18,14229.0,14520.0,14214.0,14514.0,14513,218.0,494200.0,14227,295647.0,569883.0
2018-05-29,DEC18,,,,,14422,218.0,,14204,,6.0
