favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
57518,Twitter for iPhone,Yesterday in Pittsburgh I was really impressed with Congressman Keith Rothfus (far more so than any other local pol… https://t.co/2Tvono1y0v,,False,Wed Oct 31 19:24:22 +0000 2018,13035,1057714919766925314
138220,Twitter for iPhone,"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now… https://t.co/OwSYSiCiKe",,False,Thu Jan 25 00:27:00 +0000 2018,24215,956322473955545089
55772,Twitter for iPhone,"Thank you Missouri - I love you!
https://t.co/rx3mtd7yOy",,False,Sat Sep 22 01:05:00 +0000 2018,13068,1043305127250194432
139854,Twitter for iPhone,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do..… https://t.co/rjfQAe1jUJ",,False,Thu Jan 04 11:11:45 +0000 2018,34630,948874586006925313
39017,Twitter for iPhone,"""National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba""
Memorandum… https://t.co/RVr9Dg2hXt",,False,Fri Jun 16 22:32:20 +0000 2017,8070,875843513761583104
83043,Twitter for iPhone,“Serial killers get more Due Process than the Democrats give to the President of the United States.” @marklevinshow,,False,Mon Oct 14 00:34:01 +0000 2019,21560,1183541434802196481
76022,Twitter for iPhone,These big flows of people are all trying to take advantage of DACA. They want in on the act!,,False,Sun Apr 01 14:28:19 +0000 2018,16830,980451798606602241
69980,Twitter for iPhone,“Dems in Puerto Rico as Shutdown hits day 24.” @foxandfriends,,False,Mon Jan 14 12:35:13 +0000 2019,17449,1084791040291282944
31964,Twitter for iPhone,Will be joining @GovMikeHuckabee tonight at 8pmE on @TBN. Enjoy! https://t.co/Y5hGPpYZfl,,False,Sat Oct 07 19:31:42 +0000 2017,6475,916747884716011521
39644,Twitter for iPhone,https://t.co/LdXQb42Imc,,False,Thu Sep 20 23:57:13 +0000 2018,11276,1042925680109924352
114654,Twitter for iPhone,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a… https://t.co/z0YdrJRq3U",,False,Sat Jun 22 18:56:33 +0000 2019,22073,1142506680300789761
564928,Twitter Web Client,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so… https://t.co/PmsWNkH4r4",,False,Sun Nov 12 00:48:01 +0000 2017,232594,929511061954297857
55577,Twitter for iPhone,"Heading to California with @GOPLeader Kevin McCarthy, @RepLaMalfa, and @KenCalvert. Look forward to being with our… https://t.co/ywkoCW7dbE",,False,Sat Nov 17 16:47:07 +0000 2018,10012,1063835936604090368
80513,Twitter for iPhone,“Fact checkers have become Fake News.” @JesseBWatters   So True!,,False,Mon Feb 11 12:41:49 +0000 2019,15882,1094939561485062146
140134,Twitter for iPhone,"For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win mo… https://t.co/VAQ4O1yYv5",,False,Sat Jan 20 11:44:01 +0000 2018,34606,954680914998648833
49104,Twitter for iPhone,".....released in 2017. If his statement is based on intelligence he has seen since leaving office, it constitutes a… https://t.co/KX6Fen5VzB",,False,Fri Aug 17 02:04:03 +0000 2018,12001,1030274024809656325
67634,Twitter for iPhone,Great reception in Jamestown by both REPUBLICANS &amp; DEMOCRATS. Respect for our Country’s incredible Heritage. Thank you!,,False,Tue Jul 30 16:23:19 +0000 2019,12991,1156238853054881793
212505,Twitter for Android,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",,False,Thu Feb 09 23:35:49 +0000 2017,57824,829836231802515457
81275,Twitter for iPhone,I was very much looking forward to having a press conference just prior to leaving Argentina because we have had su… https://t.co/ckH1IDoCGS,,False,Sat Dec 01 15:21:57 +0000 2018,14544,1068887935838228480
55683,Twitter for iPhone,"As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy!....",,False,Fri May 12 11:59:00 +0000 2017,11455,863000553265270786
98875,Twitter for iPhone,"Join me live for the #SOTU
https://t.co/0SLktWxfHi",,False,Wed Jan 31 02:00:02 +0000 2018,18638,958520216429957121
57965,Twitter Web Client,Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautif… https://t.co/lSC21tvK3w,,False,Wed Nov 08 15:40:40 +0000 2017,11500,928286153672970240
71332,Twitter for iPhone,The new plant being built by Foxconn in Wisconsin is incredible. Congratulations to the people of Wisconsin and to… https://t.co/VH2tbPgIbH,,False,Fri Jun 29 23:30:02 +0000 2018,13765,1012840647743737857
80373,Twitter for iPhone,"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!",,False,Wed Jun 07 12:17:13 +0000 2017,14576,872427222392504320
40754,Twitter for iPhone,REGISTER TO https://t.co/0pWiwCHGbh! #MAGA🇺🇸 https://t.co/ACTMe53TZU,,False,Tue Oct 16 16:22:11 +0000 2018,11516,1052233253040640001
107485,Twitter for iPhone,"Just spoke to Mary Barra, CEO of General Motors about the Lordstown Ohio plant. I am not happy that it is closed wh… https://t.co/2u14Ul3CVA",,False,Sun Mar 17 22:27:27 +0000 2019,22319,1107408129619382277
124153,Twitter for iPhone,"I would be willing to “shut down” government if the Democrats do not give us the votes for Border Security, which i… https://t.co/Tt1F0wywhv",,False,Sun Jul 29 13:13:59 +0000 2018,30467,1023557246628900864
68462,Twitter for iPhone,Really Good Jobs Numbers!,,False,Thu Sep 05 13:40:53 +0000 2019,12835,1169606328945451009
96233,Twitter for iPhone,"Mexico, whose laws on immigration are very tough, must stop people from going through Mexico and into the U.S. We m… https://t.co/mOUwvFuCpS",,False,Mon Apr 23 13:51:17 +0000 2018,21945,988415011382091776
47148,Twitter for iPhone,"Departing MCAS Cherry Point in North Carolina for Fayetteville, North Carolina. This is amazing! https://t.co/JDv5HA126A",,False,Mon Sep 09 21:47:41 +0000 2019,11375,1171178388460978177
109832,Twitter for iPhone,PRESIDENTIAL HARASSMENT!,,False,Tue Mar 05 14:12:28 +0000 2019,24968,1102934910900363266
56977,Twitter for iPhone,"Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!",,False,Fri Nov 17 02:57:19 +0000 2017,10848,931355543096233985
